"country_name","country_code","indicator_name","indicator_code","debt"
"Burkina Faso","BFA","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","609823147.5"
"Burkina Faso","BFA","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","286170823.5"
"Burundi","BDI","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","105564052.9"
"Burundi","BDI","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","8101105.6"
"Burundi","BDI","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","22544069.0"
"Burundi","BDI","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","65257592.7"
"Burundi","BDI","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","4242381.4"
"Burundi","BDI","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","31303356.7"
"Burundi","BDI","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","40306460.2"
"Burundi","BDI","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","3858724.2"
"Burundi","BDI","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","53847425.7"
"Burundi","BDI","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","105564052.9"
"Burundi","BDI","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","8101105.6"
"Burundi","BDI","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","53847425.7"
"Cabo Verde","CPV","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","116258555.3"
"Cabo Verde","CPV","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","32344876.7"
"Cabo Verde","CPV","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","45608359.5"
"Cabo Verde","CPV","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","22671053.9"
"Cabo Verde","CPV","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","4942304.4"
"Cabo Verde","CPV","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","43577322.3"
"Cabo Verde","CPV","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","28842678.4"
"Cabo Verde","CPV","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","19126122.3"
"Cabo Verde","CPV","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","89185681.8"
"Cabo Verde","CPV","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","51513732.3"
"Cabo Verde","CPV","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","24068426.7"
"Cabo Verde","CPV","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","129247018.7"
"Cambodia","KHM","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","1325637404.6"
"Cambodia","KHM","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","462206714.4"
"Cambodia","KHM","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","550252252.9"
"Cambodia","KHM","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","805844233.9"
"Cambodia","KHM","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","88615871.9"
"Cambodia","KHM","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","125588049.8"
"Cambodia","KHM","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","519793170.7"
"Cambodia","KHM","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","55974842.5"
"Cambodia","KHM","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","675840302.7"
"Cambodia","KHM","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","1325637404.6"
"Cambodia","KHM","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","144590714.4"
"Cambodia","KHM","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","2938562845.4"
"Cambodia","KHM","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)","DT.AMT.DPNG.CD","2262722542.7"
"Cameroon","CMR","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","1849351537.3"
"Cameroon","CMR","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","364751244.8"
"Cameroon","CMR","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","704341226.2"
"Cameroon","CMR","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","408863160.0"
"Cameroon","CMR","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","155451279.7"
"Cameroon","CMR","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","429837290.0"
"Cameroon","CMR","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","1069641469.9"
"Cameroon","CMR","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","134431905.1"
