ln_ing_lab,lngasfam,nucleo,age_squared,sch,niv_edu_g_Secundaria completa,niv_edu_g_Secundaria incompleta,niv_edu_g_Superior completa,niv_edu_g_Superior incompleta,pobreza_pobre extremo,pobreza_pobre no extremo,jefe_Yes,urban_urbano,ramactsec_Sector Secundario,ramactsec_Sector Terciario,male_Mujer
6.644440650939941,7.683476448059082,2,900,16,False,False,True,False,False,False,True,True,False,True,False
6.644440650939941,7.683476448059082,2,961,17,False,False,True,False,False,False,False,True,False,True,True
6.778879642486572,8.278395652770996,1,3969,11,True,False,False,False,False,False,True,True,False,True,True
7.361322402954102,8.278395652770996,1,1600,16,False,False,True,False,False,False,False,True,False,True,True
6.644440650939941,8.278395652770996,1,1296,17,False,False,True,False,False,False,False,True,True,False,False
7.318318367004395,7.933953762054443,1,1369,14,False,False,True,False,False,False,True,True,False,True,False
6.756641864776611,7.933953762054443,1,1369,12,False,False,False,True,False,False,False,True,False,True,True
7.087503910064697,8.15881061553955,1,2916,14,False,False,True,False,False,False,True,True,False,True,False
6.410209625378831,8.15881061553955,1,2304,11,True,False,False,False,False,False,False,True,False,True,True
7.344557762145996,8.15881061553955,1,529,16,False,False,True,False,False,False,False,True,False,True,False
7.121387004852295,8.15881061553955,1,400,14,False,False,False,True,False,False,False,True,False,True,True
7.121387004852295,7.663426876068115,1,2025,15,False,False,False,True,False,False,False,True,False,True,False
6.833749771118164,7.683476448059082,1,5476,11,True,False,False,False,False,False,True,True,False,True,False
7.832807540893555,8.24306869506836,1,2025,18,False,False,True,False,False,False,True,True,False,True,True
7.596726894378662,8.24306869506836,1,2116,18,False,False,True,False,False,False,False,True,False,True,False
7.293754577636719,7.683476448059082,1,2704,14,False,False,True,False,False,False,True,True,False,True,False
7.58878755569458,7.683476448059082,1,3136,18,False,False,True,False,False,False,False,True,False,True,True
5.687540054321289,7.683476448059082,1,529,14,False,False,False,True,False,False,False,True,False,True,False
7.279175281524658,7.87904167175293,1,2704,15,False,False,False,True,False,False,False,True,False,True,True
6.644440650939941,7.683476448059082,1,4225,18,False,False,True,False,False,False,True,True,False,True,False
7.392390727996826,7.683476448059082,1,3481,14,False,False,True,False,False,False,False,True,False,True,True
6.747097492218018,7.683476448059082,2,1089,14,False,False,False,True,False,False,True,True,False,True,True
6.906421184539795,7.592803478240967,0,841,13,False,False,False,True,False,False,True,True,True,False,False
6.644440650939941,7.683476448059082,1,3721,14,False,False,True,False,False,False,True,True,True,False,False
6.293727397918701,7.683476448059082,1,3721,14,False,False,True,False,False,False,False,True,False,True,True
6.644440650939941,7.683476448059082,2,961,16,False,False,True,False,False,False,True,True,False,True,False
7.957848072052002,7.683476448059082,2,784,16,False,False,True,False,False,False,False,True,False,True,True
6.234737396240234,8.00477123260498,1,2209,13,False,False,False,True,False,False,False,True,False,True,False
6.802764892578125,7.386175632476807,1,3969,11,True,False,False,False,False,False,True,True,False,True,False
8.005005836486816,8.394275665283203,1,1600,14,False,False,True,False,False,False,False,True,False,True,False
6.743862628936768,8.394275665283203,1,1600,12,False,False,False,True,False,False,False,True,False,True,False
6.856812953948975,8.145468711853027,1,2025,11,True,False,False,False,False,False,True,True,False,True,False
6.912328243255615,8.145468711853027,1,2809,14,False,False,True,False,False,False,False,True,False,True,True
6.181912899017334,8.145468711853027,1,361,12,False,False,False,True,False,False,False,True,False,True,True
6.310221195220947,7.742491245269775,1,2601,14,False,False,True,False,False,False,True,True,True,False,False
5.075694561004639,7.742491245269775,1,3249,11,True,False,False,False,False,False,False,True,False,True,True
6.745628356933594,7.742491245269775,1,784,11,True,False,False,False,False,False,False,True,False,True,False
6.780300617218018,7.742491245269775,1,729,11,True,False,False,False,False,False,False,True,False,True,False
6.214941501617432,7.940056800842285,1,5041,16,False,False,True,False,False,False,True,True,False,True,False
5.298733711242676,7.940056800842285,1,4624,11,True,False,False,False,False,False,False,True,False,True,True
7.090424060821533,7.940056800842285,2,1156,13,False,False,False,True,False,False,True,True,False,True,False
6.161383152008057,8.002106666564941,1,6400,11,True,False,False,False,False,False,True,True,False,True,True
7.626367092132568,8.002106666564941,1,2809,14,False,False,True,False,False,False,False,True,False,True,True
6.981315612792969,8.362083435058594,1,2025,14,False,False,True,False,False,False,True,True,True,False,True
7.412009239196777,8.090152740478516,1,3364,16,False,False,True,False,False,False,True,True,True,False,True
6.801004886627197,8.090152740478516,1,484,13,False,False,False,True,False,False,False,True,False,True,True
6.244975566864014,8.090152740478516,1,289,11,True,False,False,False,False,False,False,True,True,False,False
6.004915237426758,8.362197875976562,1,2500,11,True,False,False,False,False,False,True,True,False,True,True
7.221775054931641,8.362197875976562,1,3025,14,False,False,True,False,False,False,False,True,False,True,False
7.389615535736084,8.362197875976562,1,576,14,False,False,False,True,False,False,False,True,False,True,False
5.651026248931885,8.166388511657715,1,576,16,False,False,True,False,False,False,False,True,False,True,True
6.92231559753418,8.166388511657715,0,2809,13,False,False,False,True,False,False,True,True,False,True,False
7.604977607727051,8.271746635437012,1,2209,16,False,False,False,True,False,False,True,True,True,False,False
5.851004600524902,7.760606288909912,0,3721,11,True,False,False,False,False,False,True,True,False,True,True
6.101252555847168,7.760606288909912,0,324,11,True,False,False,False,False,False,True,True,True,False,True
7.743016719818115,7.965559959411621,1,4489,16,False,False,True,False,False,False,True,True,False,True,False
4.351352691650391,7.737735748291016,1,4900,11,True,False,False,False,False,False,False,True,False,True,True
7.095340728759766,8.311201095581055,1,1225,11,True,False,False,False,False,False,True,True,False,True,True
6.941431999206543,7.683476448059082,1,1444,18,False,False,True,False,False,False,True,True,False,True,True
6.644440650939941,7.683476448059082,1,2304,16,False,False,True,False,False,False,False,True,False,True,False
7.168580055236816,7.683476448059082,1,4761,13,False,False,False,True,False,False,True,True,True,False,False
7.140254974365234,7.683476448059082,1,484,14,False,False,False,True,False,False,False,True,False,True,False
7.526896953582764,7.683476448059082,0,4096,11,True,False,False,False,False,False,True,True,False,True,False
6.778879642486572,7.683476448059082,0,1024,12,False,False,False,True,False,False,True,True,False,True,True
6.644440650939941,8.197206497192383,1,4096,16,False,False,True,False,False,False,True,True,False,True,False
7.457897663116455,8.197206497192383,1,576,14,False,False,True,False,False,False,False,True,False,True,False
